OSS;MATRICOLA;CODICE_COMPAGNIA;RAGIONE_SOCIALE
1;A000000019;D911R;METLIFE EUROPE DESIGNATED ACTIVITY COMPANY
2;A000000028;A044S;GENERALI ITALIA S.P.A.
3;A000000028;A390S;EUROP ASSISTANCE ITALIA S.P.A.
4;A000000030;A077S;ZURICH INVESTMENTS LIFE S.P.A.
5;A000000030;D866R;ZURICH INSURANCE EUROPE AG
6;A000000030;D980R;GAMALIFE COMPANHIA DE SEGUROS DE VIDA, SA
7;A000000030;X497R;ZURICH INSURANCE COMPANY LTD
8;A000000112;A123M;SOCIETA' REALE MUTUA DI ASSICURAZIONI
9;A000000117;A058S;COMPAGNIA ITALIANA DI PREVIDENZA, ASSICURAZIONI E RIASSICURAZIONI S.P.A.
10;A000000117;A484S;TUTELA LEGALE S.P.A.
11;A000000143;A390S;EUROP ASSISTANCE ITALIA S.P.A.
12;A000000143;A398S;IMA ITALIA ASSISTANCE S.P.A.
13;A000000143;A400S;NOBIS COMPAGNIA DI ASSICURAZIONI S.P.A.
14;A000000143;C399R;INTER PARTNER ASSISTANCE SA
15;A000000143;D891R;AWP P&C S.A.
16;A000000156;A135S;VITTORIA ASSICURAZIONI S.P.A.
17;A000000169;A095S;GROUPAMA ASSICURAZIONI SOCIETA' PER AZIONI
18;A000000175;A055X;HDI ASSICURAZIONI S.P.A.
19;A000000175;A071S;ALLIANZ DIRECT SOCIETÀ PER AZIONI
20;A000000175;A498S;BENE ASSICURAZIONI S.P.A. SOCIETÀ BENEFIT
21;A000000175;D909R;ARAG SE RAPPRESENTANZA GENERALE E DIREZIONE PER L'ITALIA
22;A000000191;A044S;GENERALI ITALIA S.P.A.
23;A000000193;A055X;HDI ASSICURAZIONI S.P.A.
24;A000000193;A213S;ATHORA ITALIA S.P.A.
25;A000000239;A342S;UNISALUTE S.P.A.
26;A000000239;A505S;UNIPOL ASSICURAZIONI S.P.A.
27;A000000254;A071S;ALLIANZ DIRECT SOCIETÀ PER AZIONI
28;A000000254;A395S;GLOBAL ASSISTANCE COMPAGNIA DI ASSICURAZIONI E RIASSICURAZIONI S.P.A.
29;A000000276;A342S;UNISALUTE S.P.A.
30;A000000276;A505S;UNIPOL ASSICURAZIONI S.P.A.
31;A000000285;A342S;UNISALUTE S.P.A.
32;A000000285;A505S;UNIPOL ASSICURAZIONI S.P.A.
33;A000000302;A342S;UNISALUTE S.P.A.
34;A000000302;A505S;UNIPOL ASSICURAZIONI S.P.A.
35;A000000304;A342S;UNISALUTE S.P.A.
36;A000000304;A505S;UNIPOL ASSICURAZIONI S.P.A.
37;A000000311;A342S;UNISALUTE S.P.A.
38;A000000311;A505S;UNIPOL ASSICURAZIONI S.P.A.
39;A000000340;A342S;UNISALUTE S.P.A.
40;A000000340;A505S;UNIPOL ASSICURAZIONI S.P.A.
41;A000000367;A342S;UNISALUTE S.P.A.
42;A000000407;D911R;METLIFE EUROPE DESIGNATED ACTIVITY COMPANY
43;A000000422;A342S;UNISALUTE S.P.A.
44;A000000422;A505S;UNIPOL ASSICURAZIONI S.P.A.
45;A000000429;A342S;UNISALUTE S.P.A.
46;A000000429;A505S;UNIPOL ASSICURAZIONI S.P.A.
47;A000000460;A135S;VITTORIA ASSICURAZIONI S.P.A.
48;A000000498;A095S;GROUPAMA ASSICURAZIONI SOCIETA' PER AZIONI
49;A000000522;A342S;UNISALUTE S.P.A.
50;A000000522;A450S;HELVETIA VITA COMPAGNIA ITALO-SVIZZERA DI ASSICURAZIONI SULLA VITA S.P.A.
51;A000000522;A505S;UNIPOL ASSICURAZIONI S.P.A.
52;A000000522;X051R;HELVETIA COMPAGNIA SVIZZERA D'ASSICURAZIONI S.A.
53;A000000573;A342S;UNISALUTE S.P.A.
54;A000000573;A505S;UNIPOL ASSICURAZIONI S.P.A.
55;A000000603;A342S;UNISALUTE S.P.A.
56;A000000603;A505S;UNIPOL ASSICURAZIONI S.P.A.
57;A000000614;A058S;COMPAGNIA ITALIANA DI PREVIDENZA, ASSICURAZIONI E RIASSICURAZIONI S.P.A.
58;A000000614;A071S;ALLIANZ DIRECT SOCIETÀ PER AZIONI
59;A000000614;A226S;SLP - ASSICURAZIONI SPESE LEGALI PERITALI E RISCHI ACCESSORI S.P.A.
60;A000000614;A327S;ASSICURATRICE MILANESE SPA - COMPAGNIA DI ASSICURAZIONI
61;A000000614;A390S;EUROP ASSISTANCE ITALIA S.P.A.
62;A000000617;A342S;UNISALUTE S.P.A.
63;A000000617;A505S;UNIPOL ASSICURAZIONI S.P.A.
64;A000000673;A058S;COMPAGNIA ITALIANA DI PREVIDENZA, ASSICURAZIONI E RIASSICURAZIONI S.P.A.
65;A000000673;A127S;UCA - ASSICURAZIONE SPESE LEGALI E PERITALI S.P.A.
66;A000000673;A342S;UNISALUTE S.P.A.
67;A000000673;A505S;UNIPOL ASSICURAZIONI S.P.A.
68;A000000673;X460R;SCHWEIZERISCHE HAGEL-VERSICHERUNGS-GESELLSHAFT - SOCIETA' SVIZZERA DI
69;A000000704;A095S;GROUPAMA ASSICURAZIONI SOCIETA' PER AZIONI
70;A000000705;A044S;GENERALI ITALIA S.P.A.
71;A000000705;A390S;EUROP ASSISTANCE ITALIA S.P.A.
72;A000000716;A463S;ALLIANZ SOCIETA' PER AZIONI
73;A000000716;A484S;TUTELA LEGALE S.P.A.
74;A000000716;A498S;BENE ASSICURAZIONI S.P.A. SOCIETÀ BENEFIT
75;A000000716;D875R;ALLIANZ GLOBAL CORPORATE & SPECIALTY SE
76;A000000716;D878R;ALLIANZ GLOBAL LIFE DAC
77;A000000716;D891R;AWP P&C S.A.
78;A000000716;D956R;ALLIANZ LEBENSVERSICHERUNGS-AG
79;A000000718;A044S;GENERALI ITALIA S.P.A.
80;A000000718;A142S;D.A.S. DIFESA AUTOMOBILISTICA SINISTRI - S.P.A. DI ASSICURAZIONE
81;A000000718;A390S;EUROP ASSISTANCE ITALIA S.P.A.
82;A000000737;A105S;SARA ASSICURAZIONI S.P.A. ASSICURATRICE UFFICIALE DELL'AUTOMOBILE CLUB D'ITALIA
83;A000000737;A294S;SARA VITA S.P.A.
84;A000000773;A055X;HDI ASSICURAZIONI S.P.A.
85;A000000806;A390S;EUROP ASSISTANCE ITALIA S.P.A.
86;A000000806;A463S;ALLIANZ SOCIETA' PER AZIONI
87;A000000828;A095S;GROUPAMA ASSICURAZIONI SOCIETA' PER AZIONI
88;A000000831;D969R;ADRIATIC OSIGURANJE D.D.
89;A000000847;A044S;GENERALI ITALIA S.P.A.
90;A000000870;A095S;GROUPAMA ASSICURAZIONI SOCIETA' PER AZIONI
91;A000000870;A463S;ALLIANZ SOCIETA' PER AZIONI
92;A000000870;A505S;UNIPOL ASSICURAZIONI S.P.A.
93;A000000870;D878R;ALLIANZ GLOBAL LIFE DAC
94;A000000870;D891R;AWP P&C S.A.
95;A000000873;A055X;HDI ASSICURAZIONI S.P.A.
96;A000000875;A226S;SLP - ASSICURAZIONI SPESE LEGALI PERITALI E RISCHI ACCESSORI S.P.A.
97;A000000875;A463S;ALLIANZ SOCIETA' PER AZIONI
98;A000000875;D891R;AWP P&C S.A.
99;A000000881;A037S;AXA ASSICURAZIONI S.P.A.
100;A000000881;C399R;INTER PARTNER ASSISTANCE SA
101;A000000881;D870R;AXA LIFE EUROPE DAC
102;A000000881;D909R;ARAG SE RAPPRESENTANZA GENERALE E DIREZIONE PER L'ITALIA
103;A000000881;D962R;XL INSURANCE COMPANY SE
104;A000000895;A463S;ALLIANZ SOCIETA' PER AZIONI
105;A000000895;D875R;ALLIANZ GLOBAL CORPORATE & SPECIALTY SE
106;A000000895;D878R;ALLIANZ GLOBAL LIFE DAC
107;A000000895;D891R;AWP P&C S.A.
108;A000000895;D956R;ALLIANZ LEBENSVERSICHERUNGS-AG
109;A000000905;A342S;UNISALUTE S.P.A.
110;A000000905;A505S;UNIPOL ASSICURAZIONI S.P.A.
111;A000000942;A095S;GROUPAMA ASSICURAZIONI SOCIETA' PER AZIONI
112;A000000942;A142S;D.A.S. DIFESA AUTOMOBILISTICA SINISTRI - S.P.A. DI ASSICURAZIONE
113;A000000942;A395S;GLOBAL ASSISTANCE COMPAGNIA DI ASSICURAZIONI E RIASSICURAZIONI S.P.A.
114;A000000942;D866R;ZURICH INSURANCE EUROPE AG
115;A000000942;X497R;ZURICH INSURANCE COMPANY LTD
116;A000000949;A463S;ALLIANZ SOCIETA' PER AZIONI
117;A000000949;D878R;ALLIANZ GLOBAL LIFE DAC
118;A000000949;D891R;AWP P&C S.A.
119;A000000949;D956R;ALLIANZ LEBENSVERSICHERUNGS-AG
120;A000000961;A058S;COMPAGNIA ITALIANA DI PREVIDENZA, ASSICURAZIONI E RIASSICURAZIONI S.P.A.
121;A000000997;A071S;ALLIANZ DIRECT SOCIETÀ PER AZIONI
122;A000000997;A226S;SLP - ASSICURAZIONI SPESE LEGALI PERITALI E RISCHI ACCESSORI S.P.A.
123;A000000997;A395S;GLOBAL ASSISTANCE COMPAGNIA DI ASSICURAZIONI E RIASSICURAZIONI S.P.A.
124;A000000997;A463S;ALLIANZ SOCIETA' PER AZIONI
125;A000000997;A498S;BENE ASSICURAZIONI S.P.A. SOCIETÀ BENEFIT
126;A000000997;D891R;AWP P&C S.A.
127;A000000997;D911R;METLIFE EUROPE DESIGNATED ACTIVITY COMPANY
128;A000001007;A463S;ALLIANZ SOCIETA' PER AZIONI
129;A000001007;A498S;BENE ASSICURAZIONI S.P.A. SOCIETÀ BENEFIT
130;A000001007;D911R;METLIFE EUROPE DESIGNATED ACTIVITY COMPANY
131;A000001019;A123M;SOCIETA' REALE MUTUA DI ASSICURAZIONI
132;A000001019;A484S;TUTELA LEGALE S.P.A.
133;A000001029;A105S;SARA ASSICURAZIONI S.P.A. ASSICURATRICE UFFICIALE DELL'AUTOMOBILE CLUB D'ITALIA
134;A000001029;A294S;SARA VITA S.P.A.
135;A000001123;A342S;UNISALUTE S.P.A.
136;A000001123;A505S;UNIPOL ASSICURAZIONI S.P.A.
137;A000001144;A095S;GROUPAMA ASSICURAZIONI SOCIETA' PER AZIONI
138;A000001166;A037S;AXA ASSICURAZIONI S.P.A.
139;A000001166;A056M;ITAS - ISTITUTO TRENTINO-ALTO ADIGE PER ASSICURAZIONI SOCIETA' MUTUA DI ASSICURAZIONI
140;A000001166;A058S;COMPAGNIA ITALIANA DI PREVIDENZA, ASSICURAZIONI E RIASSICURAZIONI S.P.A.
141;A000001166;A127S;UCA - ASSICURAZIONE SPESE LEGALI E PERITALI S.P.A.
142;A000001166;A183S;ITAS VITA S.P.A.
143;A000001166;A339S;CNP VITA ASSICURA S.P.A.
144;A000001166;A390S;EUROP ASSISTANCE ITALIA S.P.A.
145;A000001166;A463S;ALLIANZ SOCIETA' PER AZIONI
146;A000001166;C399R;INTER PARTNER ASSISTANCE SA
147;A000001166;D870R;AXA LIFE EUROPE DAC
148;A000001166;D891R;AWP P&C S.A.
149;A000001166;D909R;ARAG SE RAPPRESENTANZA GENERALE E DIREZIONE PER L'ITALIA
150;A000001178;A342S;UNISALUTE S.P.A.
151;A000001178;A505S;UNIPOL ASSICURAZIONI S.P.A.
152;A000001183;A071S;ALLIANZ DIRECT SOCIETÀ PER AZIONI
153;A000001183;A127S;UCA - ASSICURAZIONE SPESE LEGALI E PERITALI S.P.A.
154;A000001183;A339S;CNP VITA ASSICURA S.P.A.
155;A000001183;A395S;GLOBAL ASSISTANCE COMPAGNIA DI ASSICURAZIONI E RIASSICURAZIONI S.P.A.
156;A000001183;A463S;ALLIANZ SOCIETA' PER AZIONI
157;A000001183;D909R;ARAG SE RAPPRESENTANZA GENERALE E DIREZIONE PER L'ITALIA
158;A000001183;D911R;METLIFE EUROPE DESIGNATED ACTIVITY COMPANY
159;A000001193;A071S;ALLIANZ DIRECT SOCIETÀ PER AZIONI
160;A000001193;A463S;ALLIANZ SOCIETA' PER AZIONI
161;A000001193;A498S;BENE ASSICURAZIONI S.P.A. SOCIETÀ BENEFIT
162;A000001193;A505S;UNIPOL ASSICURAZIONI S.P.A.
163;A000001193;D878R;ALLIANZ GLOBAL LIFE DAC
164;A000001193;D891R;AWP P&C S.A.
165;A000001195;A463S;ALLIANZ SOCIETA' PER AZIONI
166;A000001195;D878R;ALLIANZ GLOBAL LIFE DAC
167;A000001195;D891R;AWP P&C S.A.
168;A000001198;A339S;CNP VITA ASSICURA S.P.A.
169;A000001198;A450S;HELVETIA VITA COMPAGNIA ITALO-SVIZZERA DI ASSICURAZIONI SULLA VITA S.P.A.
170;A000001198;A463S;ALLIANZ SOCIETA' PER AZIONI
171;A000001198;D909R;ARAG SE RAPPRESENTANZA GENERALE E DIREZIONE PER L'ITALIA
172;A000001198;X051R;HELVETIA COMPAGNIA SVIZZERA D'ASSICURAZIONI S.A.
173;A000001251;A037S;AXA ASSICURAZIONI S.P.A.
174;A000001251;C399R;INTER PARTNER ASSISTANCE SA
175;A000001251;D870R;AXA LIFE EUROPE DAC
176;A000001265;A450S;HELVETIA VITA COMPAGNIA ITALO-SVIZZERA DI ASSICURAZIONI SULLA VITA S.P.A.
177;A000001265;X051R;HELVETIA COMPAGNIA SVIZZERA D'ASSICURAZIONI S.A.
178;A000001273;A400S;NOBIS COMPAGNIA DI ASSICURAZIONI S.P.A.
179;A000001273;A463S;ALLIANZ SOCIETA' PER AZIONI
180;A000001284;10400;MERKUR VERSICHERUNG AKTIENGESELLSCHAFT
181;A000001284;A058S;COMPAGNIA ITALIANA DI PREVIDENZA, ASSICURAZIONI E RIASSICURAZIONI S.P.A.
182;A000001284;A463S;ALLIANZ SOCIETA' PER AZIONI
183;A000001284;A484S;TUTELA LEGALE S.P.A.
184;A000001284;D857R;TIROLER VERSICHERUNG V.A.G
185;A000001284;D878R;ALLIANZ GLOBAL LIFE DAC
186;A000001284;D891R;AWP P&C S.A.
187;A000001311;A044S;GENERALI ITALIA S.P.A.
188;A000001311;A142S;D.A.S. DIFESA AUTOMOBILISTICA SINISTRI - S.P.A. DI ASSICURAZIONE
189;A000001311;A390S;EUROP ASSISTANCE ITALIA S.P.A.
190;A000001314;A044S;GENERALI ITALIA S.P.A.
191;A000001314;A142S;D.A.S. DIFESA AUTOMOBILISTICA SINISTRI - S.P.A. DI ASSICURAZIONE
192;A000001314;A390S;EUROP ASSISTANCE ITALIA S.P.A.
193;A000001331;A071S;ALLIANZ DIRECT SOCIETÀ PER AZIONI
194;A000001331;A463S;ALLIANZ SOCIETA' PER AZIONI
195;A000001334;A058S;COMPAGNIA ITALIANA DI PREVIDENZA, ASSICURAZIONI E RIASSICURAZIONI S.P.A.
196;A000001354;X051R;HELVETIA COMPAGNIA SVIZZERA D'ASSICURAZIONI S.A.
197;A000001383;A123M;SOCIETA' REALE MUTUA DI ASSICURAZIONI
198;A000001397;A044S;GENERALI ITALIA S.P.A.
199;A000001397;A113C;GENERTEL S.P.A.
200;A000001397;A226S;SLP - ASSICURAZIONI SPESE LEGALI PERITALI E RISCHI ACCESSORI S.P.A.
201;A000001397;A498S;BENE ASSICURAZIONI S.P.A. SOCIETÀ BENEFIT
202;A000001454;A071S;ALLIANZ DIRECT SOCIETÀ PER AZIONI
203;A000001454;A123M;SOCIETA' REALE MUTUA DI ASSICURAZIONI
204;A000001454;A142S;D.A.S. DIFESA AUTOMOBILISTICA SINISTRI - S.P.A. DI ASSICURAZIONE
205;A000001454;A390S;EUROP ASSISTANCE ITALIA S.P.A.
206;A000001472;A390S;EUROP ASSISTANCE ITALIA S.P.A.
207;A000001478;A105S;SARA ASSICURAZIONI S.P.A. ASSICURATRICE UFFICIALE DELL'AUTOMOBILE CLUB D'ITALIA
208;A000001478;A294S;SARA VITA S.P.A.
209;A000001519;A055X;HDI ASSICURAZIONI S.P.A.
210;A000001519;A071S;ALLIANZ DIRECT SOCIETÀ PER AZIONI
211;A000001519;A095S;GROUPAMA ASSICURAZIONI SOCIETA' PER AZIONI
212;A000001519;A127S;UCA - ASSICURAZIONE SPESE LEGALI E PERITALI S.P.A.
213;A000001520;A342S;UNISALUTE S.P.A.
214;A000001520;A505S;UNIPOL ASSICURAZIONI S.P.A.
215;A000001524;A044S;GENERALI ITALIA S.P.A.
216;A000001524;A142S;D.A.S. DIFESA AUTOMOBILISTICA SINISTRI - S.P.A. DI ASSICURAZIONE
217;A000001554;A342S;UNISALUTE S.P.A.
218;A000001554;A505S;UNIPOL ASSICURAZIONI S.P.A.
219;A000001570;A071S;ALLIANZ DIRECT SOCIETÀ PER AZIONI
220;A000001570;A463S;ALLIANZ SOCIETA' PER AZIONI
221;A000001570;D875R;ALLIANZ GLOBAL CORPORATE & SPECIALTY SE
222;A000001570;D878R;ALLIANZ GLOBAL LIFE DAC
223;A000001570;D891R;AWP P&C S.A.
224;A000001608;A135S;VITTORIA ASSICURAZIONI S.P.A.
225;A000001609;A463S;ALLIANZ SOCIETA' PER AZIONI
226;A000001609;D878R;ALLIANZ GLOBAL LIFE DAC
227;A000001609;D891R;AWP P&C S.A.
228;A000001611;A463S;ALLIANZ SOCIETA' PER AZIONI
229;A000001611;A484S;TUTELA LEGALE S.P.A.
230;A000001611;D875R;ALLIANZ GLOBAL CORPORATE & SPECIALTY SE
231;A000001611;D891R;AWP P&C S.A.
232;A000001649;A463S;ALLIANZ SOCIETA' PER AZIONI
233;A000001649;D878R;ALLIANZ GLOBAL LIFE DAC
234;A000001649;D891R;AWP P&C S.A.
235;A000001669;A463S;ALLIANZ SOCIETA' PER AZIONI
236;A000001669;A484S;TUTELA LEGALE S.P.A.
237;A000001669;D878R;ALLIANZ GLOBAL LIFE DAC
238;A000001669;D891R;AWP P&C S.A.
239;A000001669;D909R;ARAG SE RAPPRESENTANZA GENERALE E DIREZIONE PER L'ITALIA
240;A000001696;A058S;COMPAGNIA ITALIANA DI PREVIDENZA, ASSICURAZIONI E RIASSICURAZIONI S.P.A.
241;A000001696;A327S;ASSICURATRICE MILANESE SPA - COMPAGNIA DI ASSICURAZIONI
242;A000001696;A390S;EUROP ASSISTANCE ITALIA S.P.A.
243;A000001696;A492S;S2C S.P.A. COMPAGNIA DI ASSICURAZIONI DI CREDITI E CAUZIONI
244;A000001708;A463S;ALLIANZ SOCIETA' PER AZIONI
245;A000001708;D878R;ALLIANZ GLOBAL LIFE DAC
246;A000001708;D891R;AWP P&C S.A.
247;A000001708;X051R;HELVETIA COMPAGNIA SVIZZERA D'ASSICURAZIONI S.A.
248;A000001728;A071S;ALLIANZ DIRECT SOCIETÀ PER AZIONI
249;A000001728;A463S;ALLIANZ SOCIETA' PER AZIONI
250;A000001728;D878R;ALLIANZ GLOBAL LIFE DAC
251;A000001728;D891R;AWP P&C S.A.
252;A000001728;D956R;ALLIANZ LEBENSVERSICHERUNGS-AG
253;A000001741;D878R;ALLIANZ GLOBAL LIFE DAC
254;A000001744;A226S;SLP - ASSICURAZIONI SPESE LEGALI PERITALI E RISCHI ACCESSORI S.P.A.
255;A000001744;A463S;ALLIANZ SOCIETA' PER AZIONI
256;A000001744;A498S;BENE ASSICURAZIONI S.P.A. SOCIETÀ BENEFIT
257;A000001744;D878R;ALLIANZ GLOBAL LIFE DAC
258;A000001744;D891R;AWP P&C S.A.
259;A000001744;D956R;ALLIANZ LEBENSVERSICHERUNGS-AG
260;A000001759;A463S;ALLIANZ SOCIETA' PER AZIONI
261;A000001759;D878R;ALLIANZ GLOBAL LIFE DAC
262;A000001759;D891R;AWP P&C S.A.
263;A000001759;D956R;ALLIANZ LEBENSVERSICHERUNGS-AG
264;A000001789;A463S;ALLIANZ SOCIETA' PER AZIONI
265;A000001789;D878R;ALLIANZ GLOBAL LIFE DAC
266;A000001789;D891R;AWP P&C S.A.
267;A000001804;A055X;HDI ASSICURAZIONI S.P.A.
268;A000001810;A071S;ALLIANZ DIRECT SOCIETÀ PER AZIONI
269;A000001810;A463S;ALLIANZ SOCIETA' PER AZIONI
270;A000001810;D878R;ALLIANZ GLOBAL LIFE DAC
271;A000001810;D891R;AWP P&C S.A.
272;A000001810;D956R;ALLIANZ LEBENSVERSICHERUNGS-AG
273;A000001811;A071S;ALLIANZ DIRECT SOCIETÀ PER AZIONI
274;A000001811;A463S;ALLIANZ SOCIETA' PER AZIONI
275;A000001811;D878R;ALLIANZ GLOBAL LIFE DAC
276;A000001811;D891R;AWP P&C S.A.
277;A000001811;D956R;ALLIANZ LEBENSVERSICHERUNGS-AG
278;A000001818;A127S;UCA - ASSICURAZIONE SPESE LEGALI E PERITALI S.P.A.
279;A000001818;A463S;ALLIANZ SOCIETA' PER AZIONI
280;A000001842;A463S;ALLIANZ SOCIETA' PER AZIONI
281;A000001842;D875R;ALLIANZ GLOBAL CORPORATE & SPECIALTY SE
282;A000001842;D878R;ALLIANZ GLOBAL LIFE DAC
283;A000001842;D891R;AWP P&C S.A.
284;A000001849;A071S;ALLIANZ DIRECT SOCIETÀ PER AZIONI
285;A000001849;A463S;ALLIANZ SOCIETA' PER AZIONI
286;A000001849;D878R;ALLIANZ GLOBAL LIFE DAC
287;A000001849;D891R;AWP P&C S.A.
288;A000001851;A105S;SARA ASSICURAZIONI S.P.A. ASSICURATRICE UFFICIALE DELL'AUTOMOBILE CLUB D'ITALIA
289;A000001851;A463S;ALLIANZ SOCIETA' PER AZIONI
290;A000001851;D891R;AWP P&C S.A.
291;A000001854;A071S;ALLIANZ DIRECT SOCIETÀ PER AZIONI
292;A000001854;A463S;ALLIANZ SOCIETA' PER AZIONI
293;A000001854;D878R;ALLIANZ GLOBAL LIFE DAC
294;A000001854;D891R;AWP P&C S.A.
295;A000001854;D956R;ALLIANZ LEBENSVERSICHERUNGS-AG
296;A000001872;A077S;ZURICH INVESTMENTS LIFE S.P.A.
297;A000001872;A327S;ASSICURATRICE MILANESE SPA - COMPAGNIA DI ASSICURAZIONI
298;A000001872;A498S;BENE ASSICURAZIONI S.P.A. SOCIETÀ BENEFIT
299;A000001872;D866R;ZURICH INSURANCE EUROPE AG
300;A000001872;D980R;GAMALIFE COMPANHIA DE SEGUROS DE VIDA, SA
301;A000001872;X497R;ZURICH INSURANCE COMPANY LTD
302;A000001887;A450S;HELVETIA VITA COMPAGNIA ITALO-SVIZZERA DI ASSICURAZIONI SULLA VITA S.P.A.
303;A000001887;X051R;HELVETIA COMPAGNIA SVIZZERA D'ASSICURAZIONI S.A.
304;A000001888;A135S;VITTORIA ASSICURAZIONI S.P.A.
305;A000001888;D911R;METLIFE EUROPE DESIGNATED ACTIVITY COMPANY
306;A000001892;A127S;UCA - ASSICURAZIONE SPESE LEGALI E PERITALI S.P.A.
307;A000001892;A339S;CNP VITA ASSICURA S.P.A.
308;A000001892;A450S;HELVETIA VITA COMPAGNIA ITALO-SVIZZERA DI ASSICURAZIONI SULLA VITA S.P.A.
309;A000001892;A463S;ALLIANZ SOCIETA' PER AZIONI
310;A000001892;X051R;HELVETIA COMPAGNIA SVIZZERA D'ASSICURAZIONI S.A.
311;A000001926;A105S;SARA ASSICURAZIONI S.P.A. ASSICURATRICE UFFICIALE DELL'AUTOMOBILE CLUB D'ITALIA
312;A000001926;A294S;SARA VITA S.P.A.
313;A000001940;A342S;UNISALUTE S.P.A.
314;A000001940;A505S;UNIPOL ASSICURAZIONI S.P.A.
315;A000001979;A342S;UNISALUTE S.P.A.
316;A000001979;A505S;UNIPOL ASSICURAZIONI S.P.A.
317;A000001987;A123M;SOCIETA' REALE MUTUA DI ASSICURAZIONI
318;A000001988;A327S;ASSICURATRICE MILANESE SPA - COMPAGNIA DI ASSICURAZIONI
319;A000001988;A395S;GLOBAL ASSISTANCE COMPAGNIA DI ASSICURAZIONI E RIASSICURAZIONI S.P.A.
320;A000002003;A071S;ALLIANZ DIRECT SOCIETÀ PER AZIONI
321;A000002003;A142S;D.A.S. DIFESA AUTOMOBILISTICA SINISTRI - S.P.A. DI ASSICURAZIONE
322;A000002003;A390S;EUROP ASSISTANCE ITALIA S.P.A.
323;A000002003;A400S;NOBIS COMPAGNIA DI ASSICURAZIONI S.P.A.
324;A000002013;A127S;UCA - ASSICURAZIONE SPESE LEGALI E PERITALI S.P.A.
325;A000002013;A463S;ALLIANZ SOCIETA' PER AZIONI
326;A000002013;D891R;AWP P&C S.A.
327;A000002039;A044S;GENERALI ITALIA S.P.A.
328;A000002039;A390S;EUROP ASSISTANCE ITALIA S.P.A.
329;A000002041;A105S;SARA ASSICURAZIONI S.P.A. ASSICURATRICE UFFICIALE DELL'AUTOMOBILE CLUB D'ITALIA
330;A000002041;A294S;SARA VITA S.P.A.
331;A000002044;A342S;UNISALUTE S.P.A.
332;A000002044;A505S;UNIPOL ASSICURAZIONI S.P.A.
333;A000002046;A105S;SARA ASSICURAZIONI S.P.A. ASSICURATRICE UFFICIALE DELL'AUTOMOBILE CLUB D'ITALIA
334;A000002046;A294S;SARA VITA S.P.A.
335;A000002052;A463S;ALLIANZ SOCIETA' PER AZIONI
336;A000002052;D875R;ALLIANZ GLOBAL CORPORATE & SPECIALTY SE
337;A000002052;D878R;ALLIANZ GLOBAL LIFE DAC
338;A000002052;D891R;AWP P&C S.A.
339;A000002052;D956R;ALLIANZ LEBENSVERSICHERUNGS-AG
340;A000002056;A342S;UNISALUTE S.P.A.
341;A000002056;A505S;UNIPOL ASSICURAZIONI S.P.A.
342;A000002069;A055X;HDI ASSICURAZIONI S.P.A.
343;A000002069;A498S;BENE ASSICURAZIONI S.P.A. SOCIETÀ BENEFIT
344;A000002094;A058S;COMPAGNIA ITALIANA DI PREVIDENZA, ASSICURAZIONI E RIASSICURAZIONI S.P.A.
345;A000002094;A226S;SLP - ASSICURAZIONI SPESE LEGALI PERITALI E RISCHI ACCESSORI S.P.A.
346;A000002102;A071S;ALLIANZ DIRECT SOCIETÀ PER AZIONI
347;A000002102;A095S;GROUPAMA ASSICURAZIONI SOCIETA' PER AZIONI
348;A000002102;A463S;ALLIANZ SOCIETA' PER AZIONI
349;A000002102;D891R;AWP P&C S.A.
350;A000002143;A339S;CNP VITA ASSICURA S.P.A.
351;A000002143;A463S;ALLIANZ SOCIETA' PER AZIONI
352;A000002143;A505S;UNIPOL ASSICURAZIONI S.P.A.
353;A000002143;D891R;AWP P&C S.A.
354;A000002143;D909R;ARAG SE RAPPRESENTANZA GENERALE E DIREZIONE PER L'ITALIA
355;A000002154;A342S;UNISALUTE S.P.A.
356;A000002154;A505S;UNIPOL ASSICURAZIONI S.P.A.
357;A000002162;A071S;ALLIANZ DIRECT SOCIETÀ PER AZIONI
358;A000002162;A498S;BENE ASSICURAZIONI S.P.A. SOCIETÀ BENEFIT
359;A000002194;A463S;ALLIANZ SOCIETA' PER AZIONI
360;A000002194;D878R;ALLIANZ GLOBAL LIFE DAC
361;A000002194;D891R;AWP P&C S.A.
362;A000002218;A095S;GROUPAMA ASSICURAZIONI SOCIETA' PER AZIONI
363;A000002218;D909R;ARAG SE RAPPRESENTANZA GENERALE E DIREZIONE PER L'ITALIA
364;A000002223;D980R;GAMALIFE COMPANHIA DE SEGUROS DE VIDA, SA
365;A000002227;A135S;VITTORIA ASSICURAZIONI S.P.A.
366;A000002227;A142S;D.A.S. DIFESA AUTOMOBILISTICA SINISTRI - S.P.A. DI ASSICURAZIONE
367;A000002239;A044S;GENERALI ITALIA S.P.A.
368;A000002239;A127S;UCA - ASSICURAZIONE SPESE LEGALI E PERITALI S.P.A.
369;A000002239;A390S;EUROP ASSISTANCE ITALIA S.P.A.
370;A000002250;A095S;GROUPAMA ASSICURAZIONI SOCIETA' PER AZIONI
371;A000002260;A463S;ALLIANZ SOCIETA' PER AZIONI
372;A000002260;A498S;BENE ASSICURAZIONI S.P.A. SOCIETÀ BENEFIT
373;A000002294;A044S;GENERALI ITALIA S.P.A.
