OSS;MATRICOLA;CODICE_COMPAGNIA;RAGIONE_SOCIALE
2540;A000012365;D909R;ARAG SE RAPPRESENTANZA GENERALE E DIREZIONE PER L'ITALIA
2541;A000012365;D911R;METLIFE EUROPE DESIGNATED ACTIVITY COMPANY
2542;A000012365;D957R;CHUBB EUROPEAN GROUP SE
2543;A000012365;D962R;XL INSURANCE COMPANY SE
2544;A000012365;D980R;GAMALIFE COMPANHIA DE SEGUROS DE VIDA, SA
2545;A000012365;X051R;HELVETIA COMPAGNIA SVIZZERA D'ASSICURAZIONI S.A.
2546;A000012365;X497R;ZURICH INSURANCE COMPANY LTD
2547;A000012368;A123M;SOCIETA' REALE MUTUA DI ASSICURAZIONI
2548;A000012371;A044S;GENERALI ITALIA S.P.A.
2549;A000012371;A142S;D.A.S. DIFESA AUTOMOBILISTICA SINISTRI - S.P.A. DI ASSICURAZIONE
2550;A000012371;A390S;EUROP ASSISTANCE ITALIA S.P.A.
2551;A000012376;A105S;SARA ASSICURAZIONI S.P.A. ASSICURATRICE UFFICIALE DELL'AUTOMOBILE CLUB D'ITALIA
2552;A000012376;A294S;SARA VITA S.P.A.
2553;A000012377;A058S;COMPAGNIA ITALIANA DI PREVIDENZA, ASSICURAZIONI E RIASSICURAZIONI S.P.A.
2554;A000012381;A044S;GENERALI ITALIA S.P.A.
2555;A000012381;A142S;D.A.S. DIFESA AUTOMOBILISTICA SINISTRI - S.P.A. DI ASSICURAZIONE
2556;A000012381;A390S;EUROP ASSISTANCE ITALIA S.P.A.
2557;A000012384;A342S;UNISALUTE S.P.A.
2558;A000012384;A390S;EUROP ASSISTANCE ITALIA S.P.A.
2559;A000012384;A400S;NOBIS COMPAGNIA DI ASSICURAZIONI S.P.A.
2560;A000012384;A505S;UNIPOL ASSICURAZIONI S.P.A.
2561;A000012384;C399R;INTER PARTNER ASSISTANCE SA
2562;A000012384;D891R;AWP P&C S.A.
2563;A000012388;A071S;ALLIANZ DIRECT SOCIETÀ PER AZIONI
2564;A000012388;A463S;ALLIANZ SOCIETA' PER AZIONI
2565;A000012388;A505S;UNIPOL ASSICURAZIONI S.P.A.
2566;A000012388;D891R;AWP P&C S.A.
2567;A000012389;A123M;SOCIETA' REALE MUTUA DI ASSICURAZIONI
2568;A000012392;A044S;GENERALI ITALIA S.P.A.
2569;A000012392;A142S;D.A.S. DIFESA AUTOMOBILISTICA SINISTRI - S.P.A. DI ASSICURAZIONE
2570;A000012393;A044S;GENERALI ITALIA S.P.A.
2571;A000012393;A142S;D.A.S. DIFESA AUTOMOBILISTICA SINISTRI - S.P.A. DI ASSICURAZIONE
2572;A000012393;A390S;EUROP ASSISTANCE ITALIA S.P.A.
