NUMERO_ISCRIZIONE_D;RAGIONE_SOCIALE;COGNOME_NOME_RESPONSABILE
D000070754;BANCA DI CREDITO COOPERATIVO DI CAPACCIO, PAESTUM E SERINO SOCIETA' COOPERATIVA;MAROTTA DIANA
D000027101;BANCA DI CREDITO COOPERATIVO DI CASSANO DELLE MURGE E TOLVE SC;CAMPANALE ISABELLA
D000027229;BANCA DI CREDITO COOPERATIVO DI CONVERSANO;COLETTA FRANCESCO
D000026950;BANCA DI CREDITO COOPERATIVO DI FANO;DI DIO MASSIMO
D000026950;BANCA DI CREDITO COOPERATIVO DI FANO;SCARDACCHI ANDREA
D000258442;BANCA DI CREDITO COOPERATIVO DI FLUMERI;ABBONDANDOLO EMILIO
D000108789;BANCA DI CREDITO COOPERATIVO DI GAMBATESA SC;DEL ZINGARO TANIA
D000027189;BANCA DI CREDITO COOPERATIVO DI LEVERANO;D'AMANZO PIERPAOLO
D000027091;BANCA DI CREDITO COOPERATIVO DI LEZZENO;MORINI ELISABETTA
D000027158;BANCA DI CREDITO COOPERATIVO DI LOCOROTONDO;MARTELLUCCI ANDREA
D000062292;BANCA DI CREDITO COOPERATIVO DI LONGI;CASTANO CELESTE
D000027222;BANCA DI CREDITO COOPERATIVO DI MILANO;BONOMI LUCA
D000027222;BANCA DI CREDITO COOPERATIVO DI MILANO;LANCINI CARLO
D000027230;BANCA DI CREDITO COOPERATIVO DI MOZZANICA;PAGANI DIEGO
D000315600;BANCA DI CREDITO COOPERATIVO DI NAPOLI;PETROZZIELLO EMILIA
D000026941;BANCA DI CREDITO COOPERATIVO DI OSTRA E MORRO D'ALBA;VALLASCIANI MARCO
D000026931;BANCA DI CREDITO COOPERATIVO DI OSTRA VETERE SOC.COOPERATIVA;MAZZARINI DANILO
D000138051;BANCA DI CREDITO COOPERATIVO DI PACHINO;RAGONESE DOMENICA CRISTINA
D000026937;BANCA DI CREDITO COOPERATIVO DI PERGOLA E CORINALDO - SOCIETA' COOPERATIVA;FIORANI LUCA
D000027045;BANCA DI CREDITO COOPERATIVO DI PONTASSIEVE SOCIETA' COOPERATIVA;BATI ANNALISA
D000027012;BANCA DI CREDITO COOPERATIVO DI PRATOLA PELIGNA SCARL;DE STEPHANIS CATIA MARIA
D000478397;BANCA DI CREDITO COOPERATIVO DI PUTIGNANO SOCIETA' COOPERATIVA;CATERA ARIANNA
D000026935;BANCA DI CREDITO COOPERATIVO DI RECANATI E COLMURANO;GURINI MARIA GIULIA
D000027070;BANCA DI CREDITO COOPERATIVO DI ROMA;FERRI ALESSANDRO
D000026944;BANCA DI CREDITO COOPERATIVO DI SAN MARCO DEI CAVOTI E DEL SANNIO-CALVI;PETROCCIA DONATO
