OSS;NUMERO_ISCRIZIONE_RUI_PF;NUMERO_ISCRIZIONE_RUI_PG;QUALIFICA_INTERMEDIARIO;RESPONSABILE
164;A000076399;A000498646;Responsabile dell'attività di intermediazione;
165;A000076415;A000076407;Responsabile dell'attività di intermediazione;
166;A000181643;A000162855;Responsabile dell'attività di intermediazione;
167;A000114800;A000263498;Responsabile dell'attività di intermediazione;
168;A000036947;A000317554;Responsabile dell'attività di intermediazione;
169;A000127466;A000108956;Responsabile dell'attività di intermediazione;
170;B000180981;B000620030;Rappresentante Legale;
171;A000140024;A000565758;Responsabile dell'attività di intermediazione;
172;A000140035;A000631466;Responsabile dell'attività di intermediazione;
173;A000144258;A000135855;Responsabile dell'attività di intermediazione;
174;A000100754;A000694454;Responsabile dell'attività di intermediazione;
175;A000118991;A000696358;Responsabile dell'attività di intermediazione;
176;A000118992;A000541370;Responsabile dell'attività di intermediazione;
177;A000124691;A000071387;Responsabile dell'attività di intermediazione;
178;A000162179;A000167670;Responsabile dell'attività di intermediazione;
179;A000059015;A000081481;Responsabile dell'attività di intermediazione;
180;A000083813;A000083816;Responsabile dell'attività di intermediazione;
181;A000083883;A000052743;Responsabile dell'attività di intermediazione;
182;A000126677;A000730918;Responsabile dell'attività di intermediazione;
183;A000064863;A000065048;Responsabile dell'attività di intermediazione;
184;A000100813;A000100916;Responsabile dell'attività di intermediazione;
185;A000084150;A000062480;Responsabile dell'attività di intermediazione;
186;A000073143;A000073041;Responsabile dell'attività di intermediazione;
187;A000143644;A000166498;Responsabile dell'attività di intermediazione;
188;A000075704;A000279770;Responsabile dell'attività di intermediazione;
189;A000126708;A000669429;Responsabile dell'attività di intermediazione;
190;A000126729;A000126760;Responsabile dell'attività di intermediazione;
191;A000169699;A000183510;Responsabile dell'attività di intermediazione;
192;A000154085;A000154103;Responsabile dell'attività di intermediazione;
193;A000154228;A000154759;Responsabile dell'attività di intermediazione;
194;A000164859;A000172210;Responsabile dell'attività di intermediazione;
195;A000164873;A000400856;Responsabile dell'attività di intermediazione;
196;A000009964;A000670338;Responsabile dell'attività di intermediazione;
197;A000098419;A000706655;Responsabile dell'attività di intermediazione;
198;A000097334;A000080556;Responsabile dell'attività di intermediazione;
199;A000117344;A000117015;Responsabile dell'attività di intermediazione;
200;A000068291;A000068276;Responsabile dell'attività di intermediazione;
201;A000072426;A000072457;Responsabile dell'attività di intermediazione;
202;A000072467;A000072479;Responsabile dell'attività di intermediazione;
203;A000050793;A000231643;Responsabile dell'attività di intermediazione;
204;A000099839;A000482462;Responsabile dell'attività di intermediazione;
205;A000114971;A000383806;Responsabile dell'attività di intermediazione;
206;A000117281;A000648978;Responsabile dell'attività di intermediazione;
207;A000099935;A000547011;Responsabile dell'attività di intermediazione;
208;A000127065;A000098404;Responsabile dell'attività di intermediazione;
209;A000134372;A000184699;Responsabile dell'attività di intermediazione;
210;A000085823;A000085781;Responsabile dell'attività di intermediazione;
211;A000061550;A000052647;Responsabile dell'attività di intermediazione;
212;A000086727;A000338481;Responsabile dell'attività di intermediazione;
213;A000086754;A000390769;Responsabile dell'attività di intermediazione;
214;A000086769;A000097423;Responsabile dell'attività di intermediazione;
215;A000199618;A000164211;Responsabile dell'attività di intermediazione;
216;A000100341;A000759325;Responsabile dell'attività di intermediazione;
217;A000117326;A000774509;Responsabile dell'attività di intermediazione;
218;A000156219;A000166835;Responsabile dell'attività di intermediazione;
219;A000156231;A000755247;Responsabile dell'attività di intermediazione;
220;A000068117;A000066252;Responsabile dell'attività di intermediazione;
221;A000066155;A000406749;Responsabile dell'attività di intermediazione;
222;A000620362;A000124215;Responsabile dell'attività di intermediazione;
223;A000170399;A000162259;Responsabile dell'attività di intermediazione;
224;A000165785;A000217739;Responsabile dell'attività di intermediazione;
225;A000100033;A000644308;Responsabile dell'attività di intermediazione;
226;A000127433;A000104171;Responsabile dell'attività di intermediazione;
227;A000083707;A000131890;Responsabile dell'attività di intermediazione;
228;A000183752;A000154667;Responsabile dell'attività di intermediazione;
229;A000145148;A000522369;Responsabile dell'attività di intermediazione;
230;A000097258;A000086285;Responsabile dell'attività di intermediazione;
231;A000099696;A000496165;Responsabile dell'attività di intermediazione;
232;A000128465;A000070067;Responsabile dell'attività di intermediazione;
233;A000170199;A000537003;Responsabile dell'attività di intermediazione;
234;A000054923;A000271456;Responsabile dell'attività di intermediazione;
235;A000066424;A000059827;Responsabile dell'attività di intermediazione;
236;A000086695;A000790526;Responsabile dell'attività di intermediazione;
237;A000071608;A000072133;Responsabile dell'attività di intermediazione;
238;A000128232;A000121212;Responsabile dell'attività di intermediazione;
239;A000138327;A000250534;Responsabile dell'attività di intermediazione;
240;B000007686;B000671254;Responsabile dell'attività di intermediazione;
241;A000010716;A000719470;Responsabile dell'attività di intermediazione;
242;A000037387;A000694669;Responsabile dell'attività di intermediazione;
243;A000127851;A000386001;Responsabile dell'attività di intermediazione;
244;A000055809;A000342664;Responsabile dell'attività di intermediazione;
