OSS;NUMERO_ISCRIZIONE_RUI_PF;NUMERO_ISCRIZIONE_RUI_PG;QUALIFICA_INTERMEDIARIO;RESPONSABILE
11880;B000057784;B000057783;Rappresentante Legale;
11881;B000002045;B000193286;Rappresentante Legale;
11882;A000179222;A000820069;Responsabile dell'attività di intermediazione;
11883;B000064572;B000060461;Rappresentante Legale;
11884;A000336122;A000446348;Responsabile dell'attività di intermediazione;
11885;A000115695;A000115691;Responsabile dell'attività di intermediazione;
11886;A000670508;A000793923;Responsabile dell'attività di intermediazione;
11887;B000668742;B000676295;Rappresentante Legale;
11888;A000572961;A000671528;Responsabile dell'attività di intermediazione;
11889;B000444548;B000671967;Rappresentante Legale;
11890;A000561165;A000671243;Responsabile dell'attività di intermediazione;
11891;A000123997;A000131749;Responsabile dell'attività di intermediazione;
11892;B000397433;B000722208;Rappresentante Legale;
11893;A000180745;A000186206;Responsabile dell'attività di intermediazione;
11894;A000130151;A000078843;Responsabile dell'attività di intermediazione;
11895;B000671422;B000688847;Rappresentante Legale;
11896;A000264355;A000107867;Responsabile dell'attività di intermediazione;
11897;B000126977;B000548946;Responsabile dell'attività di intermediazione;
11898;A000390560;A000120283;Responsabile dell'attività di intermediazione;
11899;A000628695;A000576784;Responsabile dell'attività di intermediazione;
11900;A000675086;A000068131;Responsabile dell'attività di intermediazione;
11901;B000735690;B000738614;Rappresentante Legale;
11902;A000435342;A000508374;Responsabile dell'attività di intermediazione;
11903;A000081918;A000082196;Responsabile dell'attività di intermediazione;
11904;A000158681;A000252010;Responsabile dell'attività di intermediazione;
11905;A000116789;A000076817;Responsabile dell'attività di intermediazione;
11906;A000675089;A000458469;Responsabile dell'attività di intermediazione;
11907;A000673729;A000674486;Responsabile dell'attività di intermediazione;
11908;A000634788;A000616834;Responsabile dell'attività di intermediazione;
11909;A000124788;A000509695;Responsabile dell'attività di intermediazione;
11910;B000627667;B000700679;Rappresentante Legale;
11911;A000007739;A000069479;Responsabile dell'attività di intermediazione;
11912;A000099001;A000460466;Responsabile dell'attività di intermediazione;
11913;A000675452;A000762082;Responsabile dell'attività di intermediazione;
11914;B000013362;B000605956;Rappresentante Legale;
11915;A000132741;A000124215;Responsabile dell'attività di intermediazione;
11916;B000007725;B000049145;Responsabile dell'attività di intermediazione;
11917;B000675779;B000675780;Rappresentante Legale;
11918;B000676795;B000267996;Rappresentante Legale;
11919;A000676209;A000699743;Responsabile dell'attività di intermediazione;
11920;A000116641;A000401833;Responsabile dell'attività di intermediazione;
11921;A000642547;A000584544;Responsabile dell'attività di intermediazione;
11922;A000401490;A000485069;Responsabile dell'attività di intermediazione;
11923;A000503794;A000575509;Responsabile dell'attività di intermediazione;
11924;A000680879;A000192619;Responsabile dell'attività di intermediazione;
11925;A000678655;A000821874;Responsabile dell'attività di intermediazione;
11926;A000679069;A000759325;Responsabile dell'attività di intermediazione;
11927;A000246062;A000761306;Responsabile dell'attività di intermediazione;
11928;A000168490;A000683979;Responsabile dell'attività di intermediazione;
11929;A000118702;A000700112;Responsabile dell'attività di intermediazione;
11930;A000062320;A000547011;Responsabile dell'attività di intermediazione;
11931;B000155386;B000548946;Responsabile dell'attività di intermediazione;
11932;A000180186;A000716531;Responsabile dell'attività di intermediazione;
11933;B000069086;B000777875;Rappresentante Legale;
11934;B000067435;B000617629;Rappresentante Legale;
11935;A000172397;A000258441;Responsabile dell'attività di intermediazione;
11936;A000512433;A000485463;Responsabile dell'attività di intermediazione;
11937;A000366799;A000686284;Responsabile dell'attività di intermediazione;
11938;A000010596;A000617595;Responsabile dell'attività di intermediazione;
11939;B000054339;B000532007;Rappresentante Legale;
11940;A000047343;A000278655;Responsabile dell'attività di intermediazione;
11941;A000578024;A000688797;Responsabile dell'attività di intermediazione;
11942;A000007107;A000630535;Responsabile dell'attività di intermediazione;
11943;A000004696;A000103691;Responsabile dell'attività di intermediazione;
11944;A000512422;A000485463;Responsabile dell'attività di intermediazione;
11945;A000689969;A000824392;Responsabile dell'attività di intermediazione;
11946;B000690353;B000690354;Responsabile dell'attività di intermediazione;
11947;A000320067;A000687016;Responsabile dell'attività di intermediazione;
11948;A000053765;A000012220;Responsabile dell'attività di intermediazione;
11949;A000558060;A000111056;Responsabile dell'attività di intermediazione;
11950;B000013114;B000714607;Responsabile dell'attività di intermediazione;
11951;A000007756;A000069479;Responsabile dell'attività di intermediazione;
11952;B000187398;B000513388;Responsabile dell'attività di intermediazione;
11953;A000107803;A000737943;Responsabile dell'attività di intermediazione;
11954;B000128100;B000615120;Responsabile dell'attività di intermediazione;
11955;A000179794;A000452511;Responsabile dell'attività di intermediazione;
11956;A000080061;A000797506;Responsabile dell'attività di intermediazione;
11957;A000179003;A000157784;Responsabile dell'attività di intermediazione;
11958;B000174201;B000742607;Rappresentante Legale;
11959;A000028492;A000373013;Responsabile dell'attività di intermediazione;
11960;B000692580;B000595743;Rappresentante Legale;
11961;A000131897;A000131998;Responsabile dell'attività di intermediazione;
11962;A000487830;A000747991;Responsabile dell'attività di intermediazione;
11963;A000425546;A000691456;Responsabile dell'attività di intermediazione;
11964;A000431391;A000109380;Responsabile dell'attività di intermediazione;
11965;A000090599;A000580823;Responsabile dell'attività di intermediazione;
11966;A000056050;A000591264;Responsabile dell'attività di intermediazione;
11967;A000004147;A000132685;Responsabile dell'attività di intermediazione;
11968;A000138120;A000154467;Responsabile dell'attività di intermediazione;
11969;A000196103;A000111119;Responsabile dell'attività di intermediazione;
11970;A000107980;A000661855;Responsabile dell'attività di intermediazione;
11971;B000073723;B000014409;Responsabile dell'attività di intermediazione;
11972;A000181937;A000749604;Responsabile dell'attività di intermediazione;
11973;B000694359;B000050374;Responsabile dell'attività di intermediazione;
11974;A000693458;A000693459;Responsabile dell'attività di intermediazione;
11975;A000694117;A000741069;Responsabile dell'attività di intermediazione;
11976;A000029530;A000686866;Responsabile dell'attività di intermediazione;
11977;A000170426;A000164023;Responsabile dell'attività di intermediazione;
11978;A000081786;A000677454;Responsabile dell'attività di intermediazione;
11979;A000000766;A000631792;Responsabile dell'attività di intermediazione;
11980;A000693281;A000478217;Responsabile dell'attività di intermediazione;
11981;B000272265;B000234004;Responsabile dell'attività di intermediazione;
11982;B000692827;B000694287;Rappresentante Legale;
11983;A000053933;A000012566;Responsabile dell'attività di intermediazione;
11984;A000006400;A000012566;Responsabile dell'attività di intermediazione;
11985;A000132155;A000167435;Responsabile dell'attività di intermediazione;
11986;A000061345;A000770661;Responsabile dell'attività di intermediazione;
11987;B000405294;B000632714;Responsabile dell'attività di intermediazione;
11988;B000696356;B000059359;Rappresentante Legale;
11989;A000143086;A000552341;Responsabile dell'attività di intermediazione;
11990;A000120000;A000119995;Responsabile dell'attività di intermediazione;
11991;A000003748;A000135266;Responsabile dell'attività di intermediazione;
11992;B000444559;B000355602;Responsabile dell'attività di intermediazione;
11993;A000327078;A000696530;Responsabile dell'attività di intermediazione;
11994;A000186646;A000651339;Responsabile dell'attività di intermediazione;
11995;A000008467;A000543563;Responsabile dell'attività di intermediazione;
11996;A000393191;A000697996;Responsabile dell'attività di intermediazione;
11997;B000569893;B000824383;Rappresentante Legale;
11998;A000002967;A000543566;Responsabile dell'attività di intermediazione;
11999;B000324454;B000278298;Responsabile dell'attività di intermediazione;
12000;A000004655;A000641479;Responsabile dell'attività di intermediazione;
12001;A000166969;A000169657;Responsabile dell'attività di intermediazione;
12002;B000697804;B000480187;Responsabile dell'attività di intermediazione;
12003;A000173377;A000548457;Responsabile dell'attività di intermediazione;
12004;A000059629;A000592008;Responsabile dell'attività di intermediazione;
12005;A000697233;A000719462;Responsabile dell'attività di intermediazione;
12006;B000697166;B000680666;Responsabile dell'attività di intermediazione;
12007;A000004723;A000231768;Responsabile dell'attività di intermediazione;
12008;A000138094;A000308093;Responsabile dell'attività di intermediazione;
12009;A000100253;A000565777;Responsabile dell'attività di intermediazione;
12010;B000013453;B000783646;Rappresentante Legale;
12011;B000013500;B000073708;Responsabile dell'attività di intermediazione;
12012;A000483971;A000700777;Responsabile dell'attività di intermediazione;
12013;A000082453;A000692242;Responsabile dell'attività di intermediazione;
12014;A000285869;A000697831;Responsabile dell'attività di intermediazione;
12015;A000038722;A000699635;Responsabile dell'attività di intermediazione;
12016;B000642964;B000718194;Responsabile dell'attività di intermediazione;
12017;B000642964;B000718194;Rappresentante Legale;
12018;B000742438;B000144061;Responsabile dell'attività di intermediazione;
12019;B000327981;B000137063;Responsabile dell'attività di intermediazione;
12020;A000118897;A000098627;Responsabile dell'attività di intermediazione;
12021;A000115367;A000693759;Responsabile dell'attività di intermediazione;
12022;B000218656;B000058890;Responsabile dell'attività di intermediazione;
12023;A000009219;A000766992;Responsabile dell'attività di intermediazione;
12024;A000040578;A000583379;Responsabile dell'attività di intermediazione;
12025;A000053520;A000732305;Responsabile dell'attività di intermediazione;
12026;A000054724;A000680945;Responsabile dell'attività di intermediazione;
12027;B000556314;B000657051;Rappresentante Legale;
12028;B000556314;B000657051;Direttore Generale;
12029;A000389735;A000134469;Responsabile dell'attività di intermediazione;
12030;B000639184;B000639183;Rappresentante Legale;
12031;A000552192;A000747484;Responsabile dell'attività di intermediazione;
12032;A000749180;A000760026;Responsabile dell'attività di intermediazione;
12033;A000703553;A000802206;Responsabile dell'attività di intermediazione;
12034;A000009323;A000618604;Responsabile dell'attività di intermediazione;
12035;A000705601;A000078770;Responsabile dell'attività di intermediazione;
12036;B000078756;B000389732;Responsabile dell'attività di intermediazione;
12037;A000636655;A000455290;Responsabile dell'attività di intermediazione;
12038;B000083790;B000119510;Responsabile dell'attività di intermediazione;
12039;B000083790;B000678056;Rappresentante Legale;
12040;B000561992;B000668764;Responsabile dell'attività di intermediazione;
12041;B000050917;B000730038;Responsabile dell'attività di intermediazione;
12042;B000013298;B000791894;Responsabile dell'attività di intermediazione;
12043;A000705842;A000707722;Responsabile dell'attività di intermediazione;
12044;A000707280;A000814672;Responsabile dell'attività di intermediazione;
12045;A000039231;A000650910;Responsabile dell'attività di intermediazione;
12046;B000555187;B000712216;Rappresentante Legale;
12047;B000062060;B000058333;Responsabile dell'attività di intermediazione;
12048;B000069931;B000243304;Responsabile dell'attività di intermediazione;
12049;B000069931;B000243304;Rappresentante Legale;
12050;B000013685;B000052429;Responsabile dell'attività di intermediazione;
12051;A000001655;A000011930;Responsabile dell'attività di intermediazione;
12052;A000129505;A000185317;Responsabile dell'attività di intermediazione;
12053;A000117861;A000643086;Responsabile dell'attività di intermediazione;
12054;A000091258;A000419112;Responsabile dell'attività di intermediazione;
12055;A000187275;A000111327;Responsabile dell'attività di intermediazione;
12056;A000164054;A000591410;Responsabile dell'attività di intermediazione;
12057;A000115477;A000115475;Responsabile dell'attività di intermediazione;
12058;A000120309;A000703708;Responsabile dell'attività di intermediazione;
12059;A000003722;A000503630;Responsabile dell'attività di intermediazione;
12060;B000128290;B000527405;Rappresentante Legale;
12061;A000117340;A000086243;Responsabile dell'attività di intermediazione;
12062;A000165474;A000165475;Responsabile dell'attività di intermediazione;
12063;A000123425;A000123423;Responsabile dell'attività di intermediazione;
12064;B000646927;B000061130;Responsabile dell'attività di intermediazione;
12065;A000186553;A000185373;Responsabile dell'attività di intermediazione;
12066;B000620644;B000509793;Responsabile dell'attività di intermediazione;
12067;A000072197;A000107837;Responsabile dell'attività di intermediazione;
12068;B000073304;B000609975;Responsabile dell'attività di intermediazione;
12069;B000194673;B000439879;Responsabile dell'attività di intermediazione;
12070;B000072904;B000567649;Responsabile dell'attività di intermediazione;
12071;B000059812;B000255365;Responsabile dell'attività di intermediazione;
12072;A000066584;A000533730;Responsabile dell'attività di intermediazione;
12073;A000173374;A000575720;Responsabile dell'attività di intermediazione;
12074;A000719495;A000252777;Responsabile dell'attività di intermediazione;
12075;B000188157;B000052429;Responsabile dell'attività di intermediazione;
12076;B000062619;B000400767;Responsabile dell'attività di intermediazione;
12077;A000117581;A000634259;Responsabile dell'attività di intermediazione;
12078;B000736872;B000587702;Responsabile dell'attività di intermediazione;
12079;A000160707;A000273298;Responsabile dell'attività di intermediazione;
12080;A000013808;A000079033;Responsabile dell'attività di intermediazione;
12081;A000710643;A000712193;Responsabile dell'attività di intermediazione;
12082;A000186635;A000437328;Responsabile dell'attività di intermediazione;
12083;A000359189;A000460390;Responsabile dell'attività di intermediazione;
12084;B000128428;B000527156;Rappresentante Legale;
12085;A000136719;A000368195;Responsabile dell'attività di intermediazione;
12086;B000698832;B000767199;Responsabile dell'attività di intermediazione;
12087;A000077636;A000129485;Responsabile dell'attività di intermediazione;
12088;A000329863;A000749457;Responsabile dell'attività di intermediazione;
12089;B000053663;B000800024;Responsabile dell'attività di intermediazione;
12090;B000638296;B000117871;Responsabile dell'attività di intermediazione;
12091;B000062255;B000290003;Responsabile dell'attività di intermediazione;
12092;B000527977;B000117871;Responsabile dell'attività di intermediazione;
12093;B000711500;B000400942;Responsabile dell'attività di intermediazione;
12094;B000712119;B000117289;Responsabile dell'attività di intermediazione;
12095;B000637306;B000676235;Amministratore Delegato;
12096;B000713533;B000640746;Rappresentante Legale;
12097;A000568522;A000568523;Responsabile dell'attività di intermediazione;
12098;B000158156;B000674775;Responsabile dell'attività di intermediazione;
12099;B000068687;B000712340;Responsabile dell'attività di intermediazione;
12100;A000713525;A000419288;Responsabile dell'attività di intermediazione;
12101;B000284575;B000722208;Rappresentante Legale;
12102;A000000174;A000323949;Responsabile dell'attività di intermediazione;
12103;B000146260;B000594315;Rappresentante Legale;
12104;B000274984;B000117871;Responsabile dell'attività di intermediazione;
12105;B000696938;B000801871;Rappresentante Legale;
12106;A000063641;A000703686;Responsabile dell'attività di intermediazione;
12107;B000059642;B000710794;Responsabile dell'attività di intermediazione;
12108;A000009704;A000460410;Responsabile dell'attività di intermediazione;
12109;B000142815;B000144061;Rappresentante Legale;
12110;A000072225;A000072170;Responsabile dell'attività di intermediazione;
12111;B000381211;B000117871;Responsabile dell'attività di intermediazione;
12112;A000365691;A000505754;Responsabile dell'attività di intermediazione;
12113;A000085496;A000632725;Responsabile dell'attività di intermediazione;
12114;B000160996;B000782973;Rappresentante Legale;
12115;B000501187;B000714654;Rappresentante Legale;
12116;A000080171;A000696087;Responsabile dell'attività di intermediazione;
12117;A000130975;A000462453;Responsabile dell'attività di intermediazione;
12118;B000747360;B000369010;Amministratore Delegato;
12119;A000010106;A000284780;Responsabile dell'attività di intermediazione;
12120;A000071891;A000578653;Responsabile dell'attività di intermediazione;
12121;B000014177;B000698356;Rappresentante Legale;
12122;B000060420;B000812648;Responsabile dell'attività di intermediazione;
12123;B000064161;B000452450;Responsabile dell'attività di intermediazione;
12124;B000186864;B000783772;Responsabile dell'attività di intermediazione;
12125;A000071362;A000717963;Responsabile dell'attività di intermediazione;
12126;B000134888;B000051368;Rappresentante Legale;
12127;A000717895;A000069962;Responsabile dell'attività di intermediazione;
12128;B000081475;B000391094;Rappresentante Legale;
12129;B000421958;B000756600;Responsabile dell'attività di intermediazione;
12130;A000717746;A000757064;Responsabile dell'attività di intermediazione;
12131;B000065506;B000400768;Rappresentante Legale;
12132;A000128062;A000118036;Responsabile dell'attività di intermediazione;
12133;A000172942;A000462186;Responsabile dell'attività di intermediazione;
12134;B000261873;B000293742;Responsabile dell'attività di intermediazione;
12135;A000438145;A000720017;Responsabile dell'attività di intermediazione;
12136;A000717300;A000718528;Responsabile dell'attività di intermediazione;
12137;A000739730;A000745152;Responsabile dell'attività di intermediazione;
12138;A000485921;A000391800;Responsabile dell'attività di intermediazione;
12139;B000164595;B000282680;Rappresentante Legale;
12140;B000315117;B000714625;Rappresentante Legale;
12141;A000001518;A000012517;Responsabile dell'attività di intermediazione;
12142;B000430604;B000055861;Responsabile dell'attività di intermediazione;
12143;A000464757;A000561101;Responsabile dell'attività di intermediazione;
12144;A000204811;A000294038;Responsabile dell'attività di intermediazione;
12145;A000548334;A000182746;Responsabile dell'attività di intermediazione;
12146;A000721967;A000722395;Responsabile dell'attività di intermediazione;
12147;A000124471;A000684679;Responsabile dell'attività di intermediazione;
12148;B000013460;B000014325;Responsabile dell'attività di intermediazione;
12149;B000658963;B000729038;Responsabile dell'attività di intermediazione;
12150;B000723402;B000783646;Responsabile dell'attività di intermediazione;
12151;A000062937;A000331462;Responsabile dell'attività di intermediazione;
12152;A000076944;A000075956;Responsabile dell'attività di intermediazione;
12153;A000303595;A000726192;Responsabile dell'attività di intermediazione;
12154;A000016346;A000725116;Responsabile dell'attività di intermediazione;
12155;B000056922;B000340640;Rappresentante Legale;
12156;A000723883;A000728349;Responsabile dell'attività di intermediazione;
12157;A000404486;A000804856;Responsabile dell'attività di intermediazione;
12158;A000132088;A000352389;Responsabile dell'attività di intermediazione;
12159;A000154649;A000167789;Responsabile dell'attività di intermediazione;
12160;A000723848;A000612591;Responsabile dell'attività di intermediazione;
12161;B000310804;B000679936;Responsabile dell'attività di intermediazione;
12162;A000723831;A000533901;Responsabile dell'attività di intermediazione;
12163;A000484876;A000724474;Responsabile dell'attività di intermediazione;
12164;A000559189;A000811889;Responsabile dell'attività di intermediazione;
12165;B000727872;B000114899;Responsabile dell'attività di intermediazione;
12166;A000433879;A000661798;Responsabile dell'attività di intermediazione;
12167;B000726735;B000589154;Rappresentante Legale;
12168;A000057476;A000111628;Responsabile dell'attività di intermediazione;
12169;B000727066;B000727885;Responsabile dell'attività di intermediazione;
12170;B000627361;B000627364;Rappresentante Legale;
12171;A000167671;A000090478;Responsabile dell'attività di intermediazione;
12172;B000328212;B000789448;Rappresentante Legale;
12173;A000086027;A000661009;Responsabile dell'attività di intermediazione;
12174;A000730079;A000550212;Responsabile dell'attività di intermediazione;
12175;B000119110;B000455606;Responsabile dell'attività di intermediazione;
12176;B000456923;B000747015;Responsabile dell'attività di intermediazione;
12177;A000730668;A000544660;Responsabile dell'attività di intermediazione;
12178;A000006485;A000541675;Responsabile dell'attività di intermediazione;
12179;A000731833;A000317603;Responsabile dell'attività di intermediazione;
12180;A000120247;A000120248;Responsabile dell'attività di intermediazione;
12181;A000075758;A000827720;Responsabile dell'attività di intermediazione;
12182;A000187352;A000411879;Responsabile dell'attività di intermediazione;
12183;A000099524;A000691004;Responsabile dell'attività di intermediazione;
12184;A000387557;A000373252;Responsabile dell'attività di intermediazione;
12185;B000731169;B000438196;Rappresentante Legale;
12186;B000249640;B000774056;Rappresentante Legale;
12187;A000611849;A000613911;Responsabile dell'attività di intermediazione;
12188;B000014081;B000117871;Responsabile dell'attività di intermediazione;
12189;B000156879;B000775494;Rappresentante Legale;
12190;B000156879;B000779479;Rappresentante Legale;
12191;B000073485;B000514296;Responsabile dell'attività di intermediazione;
12192;B000733606;B000401869;Responsabile dell'attività di intermediazione;
12193;A000078898;A000557287;Responsabile dell'attività di intermediazione;
12194;B000124821;B000593526;Responsabile dell'attività di intermediazione;
12195;B000124821;B000593526;Rappresentante Legale;
12196;A000128214;A000121610;Responsabile dell'attività di intermediazione;
12197;A000186406;A000555767;Responsabile dell'attività di intermediazione;
12198;B000810685;B000331470;Responsabile dell'attività di intermediazione;
12199;A000734899;A000710054;Responsabile dell'attività di intermediazione;
12200;B000088746;B000218639;Responsabile dell'attività di intermediazione;
12201;A000300809;A000623409;Responsabile dell'attività di intermediazione;
12202;A000135592;A000142073;Responsabile dell'attività di intermediazione;
12203;A000009238;A000433228;Responsabile dell'attività di intermediazione;
12204;A000403272;A000622482;Responsabile dell'attività di intermediazione;
12205;B000696196;B000687174;Responsabile dell'attività di intermediazione;
12206;B000014020;B000114899;Responsabile dell'attività di intermediazione;
12207;A000065773;A000306958;Responsabile dell'attività di intermediazione;
12208;A000544242;A000012677;Responsabile dell'attività di intermediazione;
12209;A000006922;A000012137;Responsabile dell'attività di intermediazione;
12210;A000002983;A000107159;Responsabile dell'attività di intermediazione;
12211;B000559066;B000576481;Responsabile dell'attività di intermediazione;
12212;B000345894;B000276103;Responsabile dell'attività di intermediazione;
12213;A000168974;A000734852;Responsabile dell'attività di intermediazione;
12214;A000091424;A000091432;Responsabile dell'attività di intermediazione;
12215;A000059699;A000181770;Responsabile dell'attività di intermediazione;
12216;A000064276;A000497030;Responsabile dell'attività di intermediazione;
12217;A000520565;A000733710;Responsabile dell'attività di intermediazione;
12218;B000097999;B000691645;Responsabile dell'attività di intermediazione;
12219;A000061025;A000061043;Responsabile dell'attività di intermediazione;
12220;B000162987;B000411815;Rappresentante Legale;
12221;B000740191;B000596482;Responsabile dell'attività di intermediazione;
12222;A000740281;A000273144;Responsabile dell'attività di intermediazione;
12223;B000203273;B000484064;Rappresentante Legale;
12224;A000007844;A000579817;Responsabile dell'attività di intermediazione;
12225;A000343538;A000116018;Responsabile dell'attività di intermediazione;
12226;A000400823;A000791306;Responsabile dell'attività di intermediazione;
12227;B000742374;B000815250;Responsabile dell'attività di intermediazione;
12228;B000742374;B000815250;Rappresentante Legale;
12229;B000622580;B000667174;Amministratore Delegato;
12230;B000013700;B000049811;Rappresentante Legale;
12231;B000071256;B000594331;Responsabile dell'attività di intermediazione;
12232;B000071256;B000594331;Rappresentante Legale;
12233;B000364383;B000350474;Responsabile dell'attività di intermediazione;
12234;B000162678;B000381298;Rappresentante Legale;
12235;A000405202;A000588497;Responsabile dell'attività di intermediazione;
12236;A000115181;A000754929;Responsabile dell'attività di intermediazione;
12237;A000744111;A000075408;Responsabile dell'attività di intermediazione;
12238;A000743002;A000744741;Responsabile dell'attività di intermediazione;
12239;A000444117;A000744387;Responsabile dell'attività di intermediazione;
12240;B000726571;B000127422;Responsabile dell'attività di intermediazione;
12241;A000061447;A000012622;Responsabile dell'attività di intermediazione;
12242;A000185953;A000729705;Responsabile dell'attività di intermediazione;
12243;B000086093;B000051753;Responsabile dell'attività di intermediazione;
12244;A000564405;A000737784;Responsabile dell'attività di intermediazione;
12245;A000146402;A000187281;Responsabile dell'attività di intermediazione;
12246;A000252056;A000722218;Responsabile dell'attività di intermediazione;
12247;A000542434;A000819949;Responsabile dell'attività di intermediazione;
12248;A000742844;A000745096;Responsabile dell'attività di intermediazione;
12249;B000013895;B000304809;Rappresentante Legale;
12250;A000742830;A000701664;Responsabile dell'attività di intermediazione;
12251;A000742960;A000078993;Responsabile dell'attività di intermediazione;
12252;B000100295;B000599043;Rappresentante Legale;
12253;A000675284;A000819388;Responsabile dell'attività di intermediazione;
12254;B000099060;B000729790;Rappresentante Legale;
12255;A000002123;A000011987;Responsabile dell'attività di intermediazione;
12256;A000687593;A000111570;Responsabile dell'attività di intermediazione;
12257;A000057228;A000744264;Responsabile dell'attività di intermediazione;
12258;A000517332;A000694609;Responsabile dell'attività di intermediazione;
12259;B000451536;B000613423;Responsabile dell'attività di intermediazione;
12260;A000163056;A000622601;Responsabile dell'attività di intermediazione;
12261;A000725675;A000809155;Responsabile dell'attività di intermediazione;
12262;A000335712;A000699608;Responsabile dell'attività di intermediazione;
12263;A000081272;A000081268;Responsabile dell'attività di intermediazione;
12264;A000745170;A000075443;Responsabile dell'attività di intermediazione;
12265;B000409751;B000548946;Responsabile dell'attività di intermediazione;
12266;A000652776;A000556517;Responsabile dell'attività di intermediazione;
12267;B000593295;B000814716;Rappresentante Legale;
12268;B000164835;B000772268;Rappresentante Legale;
12269;B000746640;B000826423;Rappresentante Legale;
12270;A000746881;A000748348;Responsabile dell'attività di intermediazione;
12271;B000746646;B000746776;Responsabile dell'attività di intermediazione;
12272;B000180874;B000438295;Rappresentante Legale;
12273;A000746902;A000745544;Responsabile dell'attività di intermediazione;
12274;B000067475;B000606382;Responsabile dell'attività di intermediazione;
12275;A000155422;A000617134;Responsabile dell'attività di intermediazione;
12276;A000079873;A000772932;Responsabile dell'attività di intermediazione;
12277;A000098402;A000755883;Responsabile dell'attività di intermediazione;
12278;B000037047;B000767434;Rappresentante Legale;
12279;B000636934;B000531028;Responsabile dell'attività di intermediazione;
12280;A000430712;A000751012;Responsabile dell'attività di intermediazione;
12281;A000815152;A000816600;Responsabile dell'attività di intermediazione;
12282;A000751180;A000643974;Responsabile dell'attività di intermediazione;
12283;A000522587;A000682736;Responsabile dell'attività di intermediazione;
12284;A000774706;A000060199;Responsabile dell'attività di intermediazione;
12285;A000173034;A000734848;Responsabile dell'attività di intermediazione;
12286;A000173034;A000780072;Responsabile dell'attività di intermediazione;
12287;A000138008;A000753404;Responsabile dell'attività di intermediazione;
12288;A000561381;A000653994;Responsabile dell'attività di intermediazione;
12289;A000117335;A000673960;Responsabile dell'attività di intermediazione;
12290;B000751981;B000062751;Responsabile dell'attività di intermediazione;
12291;B000751951;B000701553;Rappresentante Legale;
12292;B000027998;B000703320;Responsabile dell'attività di intermediazione;
12293;B000027998;B000703320;Rappresentante Legale;
12294;B000068425;B000821826;Responsabile dell'attività di intermediazione;
12295;B000751962;B000751964;Responsabile dell'attività di intermediazione;
12296;B000082734;B000705788;Rappresentante Legale;
12297;A000752033;A000755840;Responsabile dell'attività di intermediazione;
12298;B000189047;B000291659;Rappresentante Legale;
12299;A000055916;A000680878;Responsabile dell'attività di intermediazione;
12300;A000180001;A000451850;Responsabile dell'attività di intermediazione;
12301;A000397542;A000592008;Responsabile dell'attività di intermediazione;
12302;A000752119;A000811748;Responsabile dell'attività di intermediazione;
12303;A000150514;A000590910;Responsabile dell'attività di intermediazione;
12304;A000575099;A000825749;Responsabile dell'attività di intermediazione;
12305;B000754598;B000779882;Rappresentante Legale;
12306;A000003272;A000121179;Responsabile dell'attività di intermediazione;
12307;A000075455;A000754256;Responsabile dell'attività di intermediazione;
12308;A000754224;A000401827;Responsabile dell'attività di intermediazione;
12309;B000638286;B000555867;Rappresentante Legale;
12310;B000127110;B000544692;Amministratore Delegato;
12311;B000616032;B000622372;Rappresentante Legale;
12312;A000181041;A000178907;Responsabile dell'attività di intermediazione;
12313;B000702796;B000812554;Responsabile dell'attività di intermediazione;
12314;B000577057;B000613975;Responsabile dell'attività di intermediazione;
12315;A000121805;A000620444;Responsabile dell'attività di intermediazione;
12316;A000156788;A000154359;Responsabile dell'attività di intermediazione;
12317;B000628185;B000784718;Responsabile dell'attività di intermediazione;
12318;B000628185;B000784718;Rappresentante Legale;
12319;B000792480;B000792457;Rappresentante Legale;
12320;A000131847;A000338249;Responsabile dell'attività di intermediazione;
12321;A000070036;A000187173;Responsabile dell'attività di intermediazione;
12322;A000009140;A000648953;Responsabile dell'attività di intermediazione;
12323;B000764395;B000559303;Rappresentante Legale;
12324;B000764395;B000819687;Responsabile dell'attività di intermediazione;
12325;B000764395;B000819687;Rappresentante Legale;
12326;A000159339;A000706969;Responsabile dell'attività di intermediazione;
12327;A000764181;A000114017;Responsabile dell'attività di intermediazione;
12328;A000571098;A000549313;Responsabile dell'attività di intermediazione;
12329;B000768982;B000777392;Rappresentante Legale;
12330;A000768119;A000130873;Responsabile dell'attività di intermediazione;
12331;B000771232;B000425709;Responsabile dell'attività di intermediazione;
12332;B000187243;B000479911;Responsabile dell'attività di intermediazione;
12333;B000772927;B000058936;Responsabile dell'attività di intermediazione;
12334;B000013411;B000548946;Responsabile dell'attività di intermediazione;
12335;A000086120;A000531781;Responsabile dell'attività di intermediazione;
12336;A000775951;A000803948;Responsabile dell'attività di intermediazione;
12337;B000002387;B000609300;Rappresentante Legale;
12338;A000777395;A000822246;Responsabile dell'attività di intermediazione;
12339;B000118848;B000117871;Responsabile dell'attività di intermediazione;
12340;A000391972;A000544868;Responsabile dell'attività di intermediazione;
12341;A000076608;A000553516;Responsabile dell'attività di intermediazione;
12342;B000788808;B000803590;Responsabile dell'attività di intermediazione;
12343;B000728701;B000728702;Responsabile dell'attività di intermediazione;
12344;A000008171;A000692281;Responsabile dell'attività di intermediazione;
12345;A000062642;A000061818;Responsabile dell'attività di intermediazione;
12346;A000075024;A000187245;Responsabile dell'attività di intermediazione;
